planet_name,radius_of_planet,planet_mass,orbital_period,transit_depth,orbital_eccentricity,effective_temperature_of_star,radius_of_star,orbital_inclination,impact_parameter,transit_duration,ratio_of_distance_to_star,ratio_of_radii
55 Cnc e,2.08,8.667004615384615,0.7365437000000001,0.041,0.06099999999999999,5234.0,0.94,87.29999999999998,0.16,1.596,3.517,0.0202
AU Mic b,3.9569999999999994,22.221566666666664,8.46308,0.2379,0.00577,3678.0,0.7399999999999999,89.579,0.134,3.4927000000000006,18.79,0.0488
AU Mic c,2.522,14.899999999999999,18.85969,0.097,0.00338,3678.0,0.74,89.227,0.3,4.236,32.05,0.0311
CoRoT-10 b,10.87,875.0811,13.2406,1.61036,0.53,5075.0,0.79,88.55,0.85,2.98,31.33,0.1269
CoRoT-11 b,16.03,777.085875,2.99433,1.1449,0.0,6440.0,1.37,83.17,0.818,2.5009,6.89,0.107
CoRoT-16 b,13.11,169.08203500000002,5.35227,1.02,0.33,5650.0,1.19,85.01,0.825,2.39,11.2,0.101
CoRoT-8 b,6.39,69.28629000000001,6.21229,0.651,0.0,5080.0,0.77,88.4,0.49,2.74,17.6,0.075
CoRoT-9 b,11.77,266.33974,95.2738,1.55,0.11,5625.0,0.94,89.99,0.01,8.08,93.0,0.115
DS Tuc A b,5.7,413.179,8.138268,0.2936,0.0,5428.0,0.96,89.5,0.18,3.1764,20.35,0.05419
G 9-40 b,2.025,11.7,5.746007,0.365,0.0,3348.0,0.31,88.57,0.672,1.3368,27.0,0.0605
GJ 1214 b,2.733,6.9487499999999995,1.5804045300000003,1.343,0.0062,3101.0,0.22,88.98,0.264,0.86966,14.97,0.11589
GJ 367 b,0.718,0.5895,0.321962,0.0212,0.0,3522.0,0.46,80.75,0.55,0.615,3.41,0.0143
GPX-1 b,16.477,6261.21962,1.744579,0.9,0.0,7000.0,1.56,79.9,0.82,2.09,4.67,0.095
HAT-P-11 b,4.803999999999999,25.694674,4.887802294,0.43330199999999996,0.0,4775.0,0.762,89.92399999999999,0.0322,2.364506,16.70872,0.057898000000000005
HAT-P-12 b,10.749,66.21262285714286,3.2130598,1.977,0.0,4650.0,0.7,89.0,0.211,2.3375999999999997,11.77,0.1406
HAT-P-14 b,12.89,775.2285514285714,4.627669,0.648,0.107,6600.0,1.47,83.5,0.891,2.1888,8.87,0.0805
HAT-P-16 b,14.448000000000002,1335.891818,2.77596,1.147,0.036,6158.0,1.24,86.6,0.43899999999999995,3.0624,7.17,0.1071
HAT-P-20 b,9.718,2305.8889799999997,2.875317,0.9898,0.015,4595.0,0.69,86.8,0.631,1.848,11.17,0.1284
HAT-P-21 b,11.478,1366.9687333333334,4.124481,0.7341000000000001,0.228,5588.0,1.1,87.2,0.546,3.672,9.6,0.09500000000000001
HAT-P-22 b,12.106,703.7767283333333,3.21222,0.8893999999999999,0.016,5302.0,1.04,86.90000000000002,0.466,2.8704,8.55,0.1065
HAT-P-23 b,15.334,607.7038,1.212884,1.0536,0.10600000000000001,5905.0,1.2,85.1,0.324,2.1792,4.14,0.1169
HAT-P-24 b,13.922,226.165918,3.35524,0.9410000000000001,0.067,6373.0,1.32,88.6,0.189,3.6936,7.58,0.097
HAT-P-25 b,13.030499999999998,180.41896,3.6528255699999996,0.6986,0.0275,5509.5,0.94,87.91000000000001,0.40149999999999997,2.81532,10.68,0.1272
HAT-P-26 b,6.333000000000001,19.969996666666667,4.234516,0.543,0.124,5079.0,0.79,88.59999999999998,0.303,2.4552,13.06,0.0737
HAT-P-27 b,11.43,200.86409333333333,3.039577,1.43,0.0,5316.0,0.86,85.0,0.87,1.68,9.804,0.12
HAT-P-28 b,13.585,200.705355,3.257215,1.4719,0.051,5680.0,1.1,88.0,0.299,3.2184,8.43,0.113
HAT-P-29 b,12.167,246.25253600000002,5.723288,0.8083,0.08499999999999999,6101.0,1.23,87.54499999999999,0.504,3.6348,11.629999999999999,0.0906
HAT-P-30 b,15.02,238.11641,2.810595,0.8072000000000001,0.035,6304.0,1.22,83.6,0.8539999999999999,2.1288,7.42,0.11339999999999999
HAT-P-31 b,11.99,700.41063,5.005425,0.65,0.245,6065.0,1.36,87.1,0.57,5.139,8.9,0.08
HAT-P-32 b,21.1235,252.67288333333332,2.1500081,2.03415,0.0795,6104.0,1.2950000000000002,88.94,0.10000000000000002,3.11424,5.697,0.14983
HAT-P-33 b,18.898,237.73422499999998,3.474474,0.7798,0.0,6446.0,1.64,87.2,0.325,4.4136,6.56,0.1058
HAT-P-35 b,14.93,1020.2296933333333,3.646706,0.91,0.025000000000000005,6096.0,1.4400000000000002,87.3,0.357,3.936,7.45,0.0954
HAT-P-36 b,15.211,574.0604533333334,1.3273466,1.588,0.063,5560.0,1.11,85.19,0.373,2.23248,4.665,0.126
HAT-P-37 b,13.204,377.0472333333334,2.797436,1.899,0.058,5500.0,0.88,86.90000000000002,0.505,2.3304,9.32,0.1378
HAT-P-39 b,17.609,185.608635,3.54387,0.999,0.0,6430.0,1.62,87.0,0.349,4.188,6.74,0.0993
